new_message1,label
Delete < > useless < > files,0
Update < <iden> > . md,0
Merge `` PythonPlugin `` branch,0
Add < > <iden> < > <iden> < > installer,0
Fix issue # 13,0
delete cpp codes,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Update < <iden> > . md,0
research <iden> <iden> : seems ok in multiple <iden> now .,0
try < > to < > use < > < <iden> > < > . < > net < > as < > < <iden> > < > bridge < > .,0
research,0
project file change,0
structure change,0
Update < <iden> > . md,0
Update < <iden> > . md,0
add browser <iden> ( <iden> ) plugin,0
update msg window,0
start issue # 11,0
Add progress bar,0
fix <iden> didn ' t work issue,0
fix program plugin doesn ' t work in XP issue .,0
Add missed changes,0
remove unused codes,0
add translator <iden>,0
Update < <iden> > . md,0
Add <method_name> <iden>,0
structure change,0
python plugin test,0
Add <iden> commands,0
add pywinalfred test project,0
Change <iden> C Wrapper,0
Fix <iden> issues,0
UI staff,0
fixing embedding <iden> multithread problems,0
UI staff,0
regular update,0
add <iden>,0
UI staff,0
UI staff,0
some UI staff,0
< < method_ <method_name> > od_ <method_name> > por <method_name> <iden> <method_name> ment,0
add <iden> environment to execute <iden> <iden>,0
regular commit,0
project stucture change,0
init,0
Fix issues # 33,0
Update < <iden> > . md,0
Fix mouse click issues and add a new <iden> < <iden> > .,0
Fix issue # 26 `` not count execute error command in history will be better ``,0
Fix issue # 32,0
Add wox < <iden> > <iden> .,0
<iden> < <iden> > <iden> file <iden> ( from ini to json ),0
Update < <iden> > . md,0
Resert changes,0
<iden> research,0
Add <iden> < <iden> > .,0
Fix dependency references issue of c # plugins .,0
Change python plugin interface .,0
Fix crash issue when user didn ' t install <iden> .,0
Update < <iden> > . md,0
Log python plugin error .,0
Fix select <iden> item delay issue .,0
Change default height for result item,0
Add custom <iden> <iden> feature .,0
Add <iden> setting,0
Fix theme bugs .,0
UI changes .,0
Add <iden> library .,0
fix some small UI issue,0
Bug fix,0
remove useless codes,0
bug fix,0
Fix title aligment issue when subtitle is empty .,0
Replace <method_name> usercontrol with listbox to improve ui performance,0
Update < <iden> > . md,0
Fix `` <iden> wox on <iden> start `` issue .,0
Update < <iden> > . md,0
Init,0
Add modifier key support when user action items .,0
Remove number placeholder in the right of <iden> item .,0
add fuzzy <iden> match support for < <iden> > plugin,0
fix build error on release mode and add miss <iden> nuget <iden>,0
Fix crash when UAC <iden> the <iden> . = _ = 英语不好连个说明和注释都写不出了,0
`` start wox on system <iden> `` config changes .,0
Add start < Wox > on <iden> <iden> <iden> & code refactorying .,0
Revert project file changes of <iden> sdk .,0
Implement <method_name> feature .,0
Add <iden> x64 dll,0
Fix : Prevent user from closing the main window via Alt + F4,0
Fix < > : < > remove < > unnecessary < > binary < > <iden> < > . < > <iden> < > . < > dll,0
Fix crash on null <iden> binded to <iden>,0
Add support for < <iden> > both 32 - bit and 64 - bit,0
Add web <iden> feature & some UI changes .,0
Update < <iden> > . md,0
Rename < > the < > <iden> < > .,0
Update < <iden> > . md,0
Simulate <iden> Run Dialog behaviors in the < CMD > worlflow .,0
Fixed : File not found - ico . png,0
Fixed : Calling null callback `` <iden> ``,0
Create the `` Docsets `` directory if it not exists,0
code refactoring and add web searches <iden> window .,0
Update < <iden> > . md,0
Update < <iden> > . md,0
fix Issue # 16,0
fix win + r issue .,0
Mouse select support & Code refactoring,0
show top 5 < CMD > <iden> when < CMD > query is empty .,0
change the <iden> style .,0
change vs2010 solution file .,0
fix < CMD > <iden> and add <iden> support .,0
Clean some references,0
Use the NuGet <iden> of <iden>,0
Add some workarounds for clean environment .,0
Add <iden> win + r option,0
add theme <iden> . And provide two themes default .,0
update doc workflow,0
add doc workflow,0
Update < <iden> > . md,0
add <iden> option for <iden>,0
add some comments,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Add kill <iden> workflow,0
fix issues,0
project file change,0
add v2ex <iden>,0
Add one <iden> support .,0
Fix a UI issue .,0
Limit the display <iden> item to 6 at most .,0
Add <iden> 8 installation note and prefer <version> SP1 rather than <version> to XP users,0
[ skip ci ] Fix typos,0
Fix miss default font,0
Fix not handle . ico image type,0
Fix incorrect behavior with App Paths,0
Auto Complete for < CMD > mode,0
Fix typo Widow - > <iden>,0
Fix # <version> + F4 will hide app now rather than crash,0
Add <iden> support show file icon and add a file icon cache associate with file extension,0
Change the default grid height of <iden> <iden> <iden> Panel .,0
Fix # 58 : don ' t calc when input . length < = 2,0
Revert `` Limit < <iden> > trigger must has one <iden> at least `` This reverts commit fe124310def2121520c4cc4588a3a0ee2e563ba7 .,0
# 56 Add Font <iden>,0
Limit < <iden> > trigger must has one <iden> at least make not <iden> some <iden> like `` pi ``,0
Fix <iden> not support <iden> with space,0
Close # 42 <iden> Source settings GUI,0
# 2 change <iden> default search mode,0
Close # 52 : Encoding issues with <iden> plugin,0
Make Python plugin enabled by default # 51,0
Remove useless field in <iden>,0
Add <method_name> s settings ( code only , without GUI ) # 42,0
Read . exe file description for <iden> name,0
Add <iden> . com program source support . # 42,0
Refactor to support multiple program <iden> # 42 App Paths is supported now # 41,0
Make python <iden> optional,0
Save <iden> setting,0
<iden> - > <iden>,0
add missing imports + save project changes,0
move files to new globalhotkey file,0
gloablHotkey - > <method_name>,0
Remove useless codes .,0
Optimize speed for CMD mode,0
close # 38 Change Virtualizing Mode from <iden> to <iden> .,0
Add drag support # 44,0
fix closure bug sometimes will always open the last action item .,0
Optimize <iden> results,0
Remove compiler warnings,0
add < <method_name> > system plugin,0
Fix a null references issue that may crash wox .,0
Close # 39 : Remove the shortcut arrow <iden>,0
Fix line ending [ skip ci ],0
Remove <iden>,0
<iden> AssemblyInfos [ skip ci ],0
Remove xml files in build folder .,0
Remove dropshadow since it ' s buggy .,0
Revert `` Fix Image didn ' t copy to output directory issues . ``,0
Change < > <iden>,0
Add CI <iden> .,0
Fix Image didn ' t copy to output directory issues .,0
Copy Images to output directory,0
Update NuGet configuration,0
Fix error in projects . . .,0
Add missing NuGet < <iden> > into Wox . UAC,0
Clean build configuration,0
Add <iden> support for <iden> / ChromeSxS and multiple profiles,0
Revert use <iden> on Bookmarks since it ' s too slow,0
Fixed <iden> <version> configuration,0
Add support for <iden> & <iden>,0
<iden> for <method_name> s and some tweaks,0
ToPinyin : Convert to SimpChinese at first,0
Fix the bug in <iden>,0
<method_name> trick,0
Update 2010 <iden> file Fix a bug in <iden> plugin configuration,0
fix a null references issues .,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Remove <iden> which is buggy in XP and poor performance .,0
Small issue changes .,0
Update < <iden> > . md,0
Change < <iden> > Style .,0
Add round corner support for < Wox > .,0
Add tooltip for subtitle,0
Add < <iden> > bat .,0
implement WPM <iden>,0
Strange changes .,0
Remove unnecessary file .,0
Fix bugs in CMD <iden> and PluginMangerment <iden> .,0
Add < > <iden> < > < <iden> > < > .,0
implement issue # 8 part 1,0
Fix issue # 24,0
Add global unhandled exception check .,0
Refactoring `` <iden> with windows `` option .,0
Fix issues # <version> image cache .,0
Uncommented and removed junk code,0
Files < > added < > to < > <iden> < > <iden> < > after < > folders < > I < > think < > it < > is < > time < > we < > release < > version < > 2,0
Fixed Image Errors + Handing Bad <iden>,0
Tab : Now adds Next s Title to tb <method_name>,0
Fix crash issue when user clicked <iden> in UAC <iden> <iden> .,0
Fix crash on invalid chars in path,0
Combine <iden> and <iden> into < <iden> > cc @ aaroncampf,0
close # 65 Hide when app loses focus,0
Fix python plugin crash issues .,0
Added < <method_name> > class , which is used to check <iden> an application is CUI . This fixes the issue introduced in e0eb8c8 .,0
Feature : Added < <iden> > class , which prevents having duplicate windows of the same type opened at the same time,0
- added option to open Wox Settings from the tray menu - added a checkbox option specifying <iden> to leave the <iden> line open after having run a <iden> like > ping google . com,0
Removed FileSystemSourceShallow,0
fix null references issues in commit 6b9f96697bb53f38ad01a11dee7ae9ef05924e72 @ aaroncampf,0
Upgrading Features Now Parent <iden> will appear in search <iden> .,0
Added <iden> for searching <iden> directories,0
Add restart wox command into sys plugin .,0
Use a better method to calculate relative coordinates while moving among screens,0
a,0
Fix issues in 636350c3952daa62346f49f790035aa2c5082727,0
<iden> <iden> File Structure change .,0
Added Features Feature : Search additional folders by default ( shallow <iden> ) Feature : Disable <iden>,0
Show Wox on Mouse <iden>,0
Use < <method_name> r > instead of < Chinese <method_name> > / / Please do not use the binary version on NuGet since there are some issues with the data table,0
Fix performance issues while loading fonts,0
Optimize settings order,0
Move <iden> into featureBox,0
Rename < < Wox > . <iden> > . <iden> to < < < Wox > . <iden> > . <iden> > Finish moving < <method_name> > into <iden>,0
Move < <method_name> > into Feature,0
Add Feature Tab in Settings . ( Still WIP ),0
Remove useless code,0
Fix < <iden> > Suggestion crash on network error,0
Remove duplicated code,0
Prevent from accessing last results if query has changed,0
remove useless file .,0
Fix duplicated <iden> in CMD,0
Fix issues with web search icons,0
Add < <method_name> > suggestions for web searches Fix issues with push <iden>,0
Fix error in ac81d38acc76438028dc3f06704f21c147adc565,0
Add <iden> for push <iden> before Query <iden> <iden>,0
Add error report ( however it has no sending feature at this commit ),0
Fix issue with Layered <iden>,0
Add opacity mode settings,0
Change Themes tab layout and add <iden> behind preview .,0
Enable themes of <iden> Common Controls and Dialogs in Wox . UAC,0
Fix issues with Aero,0
Revert `` Use short name of Assembly instead of full name . `` since there are some Assembly loading issues . This reverts commit cf7ae<version> name will produce no errors when debugging using Visual Studio hosting process . However , this will crash outside Visual Studio .,0
Add Aero theme,0
Fix issues with <iden>,0
Fix crash on querying when <iden> are <iden>,0
Fix a bug with <iden> typefaces,0
Use short name of Assembly instead of full name .,0
Revert `` Revert use <iden> on Bookmarks since it ' s too slow ``,0
Allow change <iden> , <iden> , <iden>,0
Directory change use fuzzy to search,0
Optimize fuzzy match,0
Fix a file missing bug,0
Change Directory plugin subdirectory list action,0
Fix bug with theme in Windows 8,0
Add <iden> <version>,0
Fix added websearch twice issue .,0
close # 47 Add log level <iden>,0
Fix a bug when creating Config directory,0
Fix ' Path ' is an ambiguous reference between ' <iden> . IO . Path ' and ' <iden> . <iden> . Shapes . Path ',0
Update VS2010 <iden>,0
Fix issues with <iden> . <iden> . <iden>,0
Refactor setting storage related,0
close # 48 Refactor <iden> <iden> .,0
Remove <iden>,0
Support data URI as Icon,0
Allow plugins return null,0
<iden> all plugins to their own repo,0
Fix applicationDirectory issues and add <iden> <iden>,0
Remove <iden> movie < <iden> > to <link>. com / <iden> / < Wox > . <iden> . DoubanMovie,0
Add <iden> <iden> support list child <iden> and <iden>,0
Fix Alt + Space <iden> affect by <iden> if no <iden> <iden> box , sometimes awake < Wox > with alt + space <iden> , the first input key is swallowed by <iden>,0
Add support ClickOnce application ex . Github for Windows use this file extension,0
Filter <iden> <iden> item,0
Update WPM .,0
Fix a bug with <iden>,0
Optimize for text selection after pressing Win + R,0
Move <iden>,0
Fix a bug with <iden>,0
Use <method_name> to provide unified experience,0
Remove useless code .,0
Fix some icon issues of some file types,0
Better path handeling Thanks @ orzFly,0
Better icon - handeling . And enumerate <iden> ICON instead of <iden>,0
Save icons using GUID filename,0
Control Panel Split Logic,0
Update < <iden> > . md,0
Refactoring <iden> and URL <iden> .,0
Fix potential issues in control panel .,0
Update Control Panel The Control Panel now also includes third party panel items .,0
Fix < > <iden> < > env < > <iden> < > .,0
Pack <iden> env < <iden> > < method_ < <iden> > >,0
Fix issues in < <iden> > plugin .,0
Optimized search Removed redundant check .,0
Save icon ' s as . bmp . ico hack was unneccassary .,0
Only <iden> top 2 relevent <iden>,0
Added priority to title <iden>,0
Trim query,0
Cosmetic changes <iden> = > <iden>,0
Added <iden> Panel,0
Add proxy setting UI # 118,0
Fix an issue when switch between plugin with icons and without icons .,0
close # 113 can ' t check checkbox by clicking label,0
Add browse more <iden> and theme link to setting dialog .,0
Async loading item images = > huge performance improvements for old machines .,0
get <iden> <iden> <iden> <iden> from <iden> . ini,0
Add open pluign directory link in <iden> setting page .,0
Add image loader class,0
Python < > plugin < > loader < > bug < > fix < > .,0
Pixel perfect alignment Seems the designview differs from reality,0
Cosmetic changes Taskbar <iden> = > <iden> Alignment of combo boxes Alignment of checkboxes and text,0
Implement # 15,0
Fix spelling mistake seleted = > selected,0
[ Programs ] Fix <iden> behaviour Fix <iden> asking user to select item if he clicks No after trying to <iden> an item in Programs Settings .,0
[ <iden> ] Fix <iden> behaviour Fix <iden> asking user to select item if he clicks No .,0
Add <method_name> <iden> < <iden> > as the Demo .,0
Add v2ex <iden> < <iden> > demo .,0
Add missing files .,0
Add portable python environment,0
Refa < <iden> > ing [ WIP ],0
Update < <iden> > . md,0
Update < <iden> > . md,0
Refactoring <iden> Loader [ WIP ] .,0
Add Executable <iden> Loader,0
Move < CMD > settings to < CMD > plugin details .,0
Some <iden> style changes .,0
close # 21 Allow user to set their custom <method_name>,0
improved Firefox bookmark - pars <method_name> g query now gets bookmark title from <iden> table <method_name> stead of <iden>,0
cache <iden> <iden> and support p <method_name> y <method_name> <iden>,0
Update < <iden> > . md,0
update < <iden> > . json for the BrowserBookmarks <iden>,0
Make sure the <iden> . <iden> file exists before <iden> <iden> <iden> .,0
add <iden> for <iden> <iden>,0
# 21 Add <iden> option for each <iden> .,0
Add folder existence check for <iden> environment variable .,0
Add Empty Check for <iden> Method .,0
Change cwd to % <iden> % before executing command .,0
Revert 3bbe54bb719cf40b477161fd6486916c1da1828e,0
Bug fix for drag drop <iden> installer .,0
Allow drag drop to install wox plugin .,0
Revert `` Use sleep instead of ping . `` This reverts commit 3f1064b22d4ebb2223a9e82cd0a59c0191e6dc13 .,0
Optimize files .,0
Add <iden> < <iden> > descriptions .,0
fix some bookmark plugin issues .,0
close # 83 Merge <iden> tab and Feature tab,0
# 94 and close # <version> <iden> as < <iden> > .,0
Change cwd to % HOME % before executing command .,0
Use sleep instead of ping .,0
Remove unnecessary code .,0
Add < > remember < > window < > position < > support < > .,0
Add post - action,0
Missed logo and title,0
HEX colors plugin,0
When user querying thirdparty plugins , system plugins shouldn ' t be included,0
# 87 Add plugin deatails in <iden> tab . [ WIP ],0
Revert last two commits pushed by @ aaroncampf , which will cause build erros .,0
Error Fix,0
Added <iden> & <iden> to < <iden> > We still need a way to save the <iden> property,0
URL plugin,0
Namespaces fix,0
Extract all converters into separate folder,0
Working on Adding <iden>,0
<iden> Check for invalid paths [ Open this <iden> ] <method_name> <iden> appears at top is path is existing <iden> or parent is,0
Updated < > Ignore < > List,0
Solving issues from last commit,0
Cleaned < <iden> > + Enhanced THIS NEEDS TESTING !,0
Update CI build script,0
Update auto build script,0
Auto publish Wox . <iden> to nuget .,0
Reduce the icon size and <iden> unnecessary images .,0
Remove unnecessary codes merged from <version>,0
<iden> all third - party plugins into separate repos ( except WPM ) .,0
Solution files change .,0
Change the default width for themes .,0
Remove unnecessary files .,0
display <iden> icons in ' wpm list / uninstall ',0
display <iden> icons in ' activate <iden> ' query,0
Change the default with of < Wox > . Remove Aero themes .,0
Remove XP related description We will not provide support for Wox in XP .,0
Update assemblyinfo,0
fix # 189 startup is too slow,0
Fix errors that collections has been changed while <iden> collections,0
Add search <iden>,0
Add custom <iden> menu < <iden> > for findfile <iden> and improve the search speed .,0
Merge,0
Reduce memory usage .,0
Update < <iden> > . cs,0
fix # 189 startup is too slow,0
Move <iden> to find file plugin .,0
Allow unsafe codes in Release build .,0
Update < <iden> > . md,0
fix # 151 Add <iden> menu for <iden>,0
Revert MFT Changes .,0
Revert <iden> changes .,0
Add Context menu,0
Add find file < <iden> > .,0
Add MFT Searcher,0
Fix a issues that JSONPRCAction could be null .,0
Refactoring <iden> args and change the signal <iden> implement .,0
Add more python plugin api .,0
Revert readme,0
# 192 fix json loads <iden> issues .,0
# 191 add < pip > . bat for < pip > installing .,0
Move < Log > to <iden> project .,0
Fix # 181 that <iden> could be removed by user when wox running .,0
Fix # 183,0
fix typo,0
<iden> : convert search word to url encoding before opening the url,0
Fix a <iden> crash issues & don ' t default exit Wox when exception happens .,0
close # 150 Use tab to cycle switch candidates,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Fix plugin API issues .,0
Including PythonHome in CI building,0
Add afterload event for <method_name>,0
fix # 46 Reload index cache when the file changed in index directories,0
# 149 fix Path including space in their name issues,0
Expose index <iden> setting,0
Expose index file <iden> config [ WIP ],0
Add reindex button to programs setting dialog .,0
Fix a programs bug if custom program folder is not exist .,0
Add F1 to open wox function guide page .,0
Refactoring < <method_name> s > system plugin and adding re - index function when adding new <iden> .,0
Fix sys plugin setting panel style issue .,0
close # 137,0
Adjust score weight for programs .,0
fix a typo : <iden> - > <iden>,0
Fix a crash in Win8,0
Forgot to add Files,0
Changes : Added < Sys > Folder , Moved < Sys > into folder , Added <iden> , Made < Sys > use an AddRange and added ISettingProvider,0
Finally Fixed AutoFormatting,0
Corrected Automatic Formatting,0
Combined 2 cases Stupid automatic formatting <iden> more then I wanted Here is the change I made if you just want the code case Key . Tab : case Key . Enter : <method_name> ( <iden> . <iden> ( ) ) ; e . <iden> = true ; break ;,0
Optimize default icon method . Simply <iden> the first pointer , ignore the others . Assume if the first one doesn ' t work , none of them will work .,0
Fix default icon retrieval . And replace <iden> ; with if ( ) statements ( supposably more compile friendly ),0
# 129 exclude system plugins <iden> when searching <iden> .,0
# 129 fix space issues in searching programs,0
Fix websearch setting issues .,0
remove bing search suggestions .,0
# 129 Make web <iden> <iden> optional and add baidu suggeestion source .,0
Replace all obsoleted method,0
Contron panel item priority should be lower when compared to programs .,0
Update < <iden> > . md,0
Update <iden> <iden> Link .,0
Control Panel Command handeling Now works for everything,0
Add pluginID for <iden> .,0
Add activate statistics,0
make some renames,0
update cleanup . bat,0
Implement # 202,0
add < <iden> > CI job,0
Update CI,0
Add < Wox > . UpdateFeed <method_name>,0
Update CI,0
Sort plugin and <iden> in setting dialog,0
Change CI,0
update ci,0
Update CI builds .,0
Improve the <iden> progress .,0
Remove unnecessary unit test,0
remove unnessary files .,0
Change log facility .,0
Fix an issue if update failed,0
Add Auto <iden> [ WIP ] & remove UAC project,0
Refactoring,0
<method_name> query <iden> < <iden> > & upgrade all third - party <iden>,0
Better <iden> report .,0
downgrade to . net <iden> <version>,0
Upgrade to . net <iden> <version>,0
Upgrade <method_name> . net framework <version>,0
<method_name> # 233,0
add translation for crash reporter,0
Add < Wox > . Crash <method_name> er,0
Change output folders for plugins in <iden>,0
1 , fix < <iden> > <method_name> ( ) trigger FileNotFoundException when file not exist ; 2 , In < <iden> > when trigger Delete Action need confirm ; 3 , Add drag and drop functionality in < <iden> > and FileSystemSettings . Signed - off - by : 716 < 525223688 @ qq . com >,0
<iden> structure change,0
Fix a global hotkey issues in < CMD > , which will hang Wox on init .,0
修复 <method_name> 可能出现的 FileNotFoundException 异常 重启电脑的时候会提示 FileNotFoundException ，所以在这里加一个检查。,0
update <iden> <iden>,0
Add translation for <iden> <iden>,0
Add translation for < CMD > <iden>,0
Add translation for web <iden> <iden>,0
Add translations for <iden> <iden> .,0
Implement <iden> i18n [ WIP ],0
Move some user settings to its own dll ( cmd , <iden> plugin and etc ),0
Fix a issue when <iden> binary storage .,0
Refactoring,0
Fix crash issues when <iden> <iden>,0
Refactoring . Move <iden> <iden> to seperate DLLs .,0
Add i18n support [ WIP ],0
Add multiple <iden> . [ WIP ],0
Fix < > typo,0
Fix a crash issue .,0
Add unittest [ WIP ],0
Fix issues if didn ' t has permission to create dir,0
Update the installer,0
Refactoring . Move <iden> related work to Wox . Core,0
Refactoring .,0
Refactoring .,0
Refactoring [ WIP ],0
Update < <iden> > . md,0
Update < <iden> > . md,0
Update < <iden> > . md,0
Fix a http request issues .,0
Upgrade to <version>,0
Upcate CI Scripts,0
Update CI,0
Add installer,0
Remove unittest for httprequest,0
